Name,Status,Runid,Date
LPU,RUNNING,NONE,2020-02-24 15:56:0
LOAN_SALES_REMINDER_2,RUNNING,1473826,2020-02-24 16:00:0
BMO_REPORTS_DOWNLOAD_NEW,RUNNING,1473830,2020-02-24 16:00:0
LOAN_SALES_REMINDER_2_CAN,COMPLETED,1473824,2020-02-24 16:00:0
LOAN_SALES_REMINDER_2_CAN,RUNNING,1473824,2020-02-24 16:00:0
LOAN_SALES_REMINDER_2,COMPLETED,1473826,2020-02-24 16:00:0
LPU,COMPLETED,NONE,2020-02-24 16:56:1
Workout_cleanup,RUNNING,NONE,2020-02-24 17:00:0
MBF_FUNDS_INIT_1,OVERRUN,NONE,2020-02-24 17:00:0
Workout_cleanup,COMPLETED,NONE,2020-02-24 17:00:1
LSP_Data_Consumer_4,COMPLETED,1472200,2020-02-24 17:00:4
Renewal_Eligibility_Evaluation_5,RUNNING,1473937,2020-02-24 17:00:4
MBF_FUNDS_INIT_1,COMPLETED,1473763,2020-02-24 17:03:2
MBF_SDA_FILE_GENERATOR,RUNNING,1473943,2020-02-24 17:03:3
MBF_SDACH_SFTP_UPLAOD,RUNNING,1473944,2020-02-24 17:03:4
MBF_SDA_FILE_GENERATOR,COMPLETED,1473943,2020-02-24 17:03:4
MBF_SDACH_SFTP_UPLAOD,COMPLETED,1473944,2020-02-24 17:03:5
TIME_KEEPER_MBF_FUNDS_INIT_1_WIRE,RUNNING,NONE,2020-02-24 17:30:0
MBF_FTP_WIRE_UPLOAD_NEW,RUNNING,1473993,2020-02-24 17:30:0
TIME_KEEPER_MBF_FUNDS_INIT_1_WIRE,COMPLETED,NONE,2020-02-24 17:30:0
MBF_funds_Init_Wire_Upload,RUNNING,1473992,2020-02-24 17:30:0
MBF_FTP_WIRE_UPLOAD_NEW,COMPLETED,1473993,2020-02-24 17:30:1
MBF_funds_Init_Wire_Upload,COMPLETED,1473992,2020-02-24 17:30:1
LPU,RUNNING,NONE,2020-02-24 17:56:0
LPU,COMPLETED,NONE,2020-02-24 17:56:1
MBF_FUNDS_INIT_2,RUNNING,1474049,2020-02-24 18:00:0
MBF_Fund_Initiation_2,RUNNING,1474048,2020-02-24 18:00:0
